iter 870: loss 30.97850804406655, worst_drop 0.02262537635760553, total_drop_violation 0.031118431575919432, tsv_count 2786.66650390625
iter 871: loss 28.369667718909657, worst_drop 0.020788241896632975, total_drop_violation 0.006446196537241097, tsv_count 2772.5048828125
iter 872: loss 28.66669111991268, worst_drop 0.02121790274696589, total_drop_violation 0.007700808599029163, tsv_count 2789.6611328125
iter 873: loss 36.51158470398377, worst_drop 0.0243298987277748, total_drop_violation 0.08778291170658577, tsv_count 2773.329345703125
iter 874: loss 27.955703119535585, worst_drop 0.021852626107606965, total_drop_violation 0.004071229498578514, tsv_count 2754.858154296875
iter 875: loss 27.874052830115556, worst_drop 0.020451956893191015, total_drop_violation 0.001235702709114543, tsv_count 2775.04833984375
iter 876: loss 27.645770866315413, worst_drop 0.020537631372872234, total_drop_violation 0.0008559401695017975, tsv_count 2756.017822265625
iter 877: loss 27.64405891579292, worst_drop 0.02028598875398646, total_drop_violation 0.0005219146889350844, tsv_count 2759.186767578125
iter 878: loss 39.25682219713327, worst_drop 0.023531553077110412, total_drop_violation 0.11566505043202606, tsv_count 2769.03173828125
iter 879: loss 28.033157960141637, worst_drop 0.020831259073103015, total_drop_violation 0.003211466228613631, tsv_count 2771.201171875
iter 880: loss 28.0417443437249, worst_drop 0.020796745383338644, total_drop_violation 0.0037452899643486103, tsv_count 2766.7216796875
